,name,script,year
0,10 things i hate about you,http://www.dailyscript.com/scripts/10things.html,1999
1,1492: conquest of paradise,http://www.hundland.org/scripts/1492-conquestofparadise.txt,1992
2,15 minutes,http://www.dailyscript.com/scripts/15minutes.html,2001
3,2001: a space odyssey,http://www.scifiscripts.com/scripts/2001.txt,1968
4,48 hrs.,http://www.awesomefilm.com/script/48hours.txt,1982
5,the fifth element,http://www.scifiscripts.com/scripts/5thelement.txt,1997
6,8mm,http://www.dailyscript.com/scripts/eight-millimeter.html,1999
7,a nightmare on elm street 4: the dream master,http://www.hundland.org/scripts/a-nightmare-on-elm-street-4.txt,1988
8,a nightmare on elm street: the dream child,http://www.hundland.org/scripts/a-nightmare-on-elm-street-5.txt,1989
9,the atomic submarine,http://leonscripts.tripod.com/scripts/atomicsub.htm,1959
10,affliction,http://www.dailyscript.com/scripts/affliction.txt,1997
11,air force one,http://www.dailyscript.com/scripts/airforceone_txt.html,1997
12,airplane ii: the sequel,http://www.dailyscript.com/scripts/airplane2_script.htm,1982
13,airplane!,http://www.dailyscript.com/scripts/airplane_script.htm,1980
14,alien nation,http://www.dailyscript.com/scripts/alien_nation_bannon_cameron_october_1987.html,1988
15,aliens,http://www.horrorlair.com/scripts/aliens.html,1986
16,amadeus,http://www.dailyscript.com/scripts/amadeus.txt,1984
17,an american werewolf in london,"http://www.dailyscript.com/scripts/american%20werewolf%20in%20london,%20an.txt",1981
18,american madness,http://www.dailyscript.com/scripts/american_madness.html,1932
19,american outlaws,http://www.dailyscript.com/scripts/american_outlaws.html,2001
20,american psycho,http://www.dailyscript.com/scripts/american_psycho_unproduced.html,2000
21,antitrust,http://www.dailyscript.com/scripts/antitrust.txt,2001
22,austin powers: international man of mystery,http://www.dailyscript.com/scripts/austin%20powers%20-%20international%20man%20of%20mystery.txt,1997
23,the avengers,http://www.dailyscript.com/scripts/avengers.html,1998
24,bachelor party,http://www.dailyscript.com/scripts/bachelor%20party.txt,1984
25,backdraft,http://www.dailyscript.com/scripts/backdraft%20(1991).txt,1991
26,bad lieutenant,http://www.dailyscript.com/scripts/bad%20lieutenant.txt,1992
27,bamboozled,http://www.awesomefilm.com/script/bamboozled.txt,2000
28,barry lyndon,http://www.dailyscript.com/scripts/barrylyndon.html,1975
29,basic,http://www.dailyscript.com/scripts/basic.txt,2003
30,big fish,http://www.dailyscript.com/scripts/big+fish.txt,2003
31,birthday girl,http://www.dailyscript.com/scripts/birthday+girl.txt,2001
32,black snake moan,http://www.dailyscript.com/scripts/black%20snake%20moan.txt,2006
33,black rain,http://www.angelfire.com/movies/ridleyscott/script/blackrain.txt,1989
34,blade runner,http://www.dailyscript.com/scripts/blade-runner_shooting.html,1982
35,blast from the past,http://www.hundland.org/scripts/blast-from-the-past.htm,1999
36,blue velvet,http://www.dailyscript.com/scripts/blue+velvet.txt,1986
37,the boondock saints,"http://www.dailyscript.com/scripts/boondock%20saints,%20the.txt",1999
38,bottle rocket,http://www.dailyscript.com/scripts/bottle+rocket.txt,1996
39,the bourne supremacy,"http://www.dailyscript.com/scripts/bourne+supremacy,+the.txt",2004
40,braveheart,http://www.dailyscript.com/scripts/braveheart.txt,1995
41,the butterfly effect,"http://www.dailyscript.com/scripts/butterfly+effect,+the.txt",2004
42,casablanca,http://www.dailyscript.com/scripts/casablanca.txt,1942
43,cast away,http://www.hundland.org/scripts/castaway.txt,2000
44,the cider house rules,"http://www.dailyscript.com/scripts/cider%20house%20rules,%20the.txt",1999
45,confidence,http://www.dailyscript.com/scripts/confidence.txt,2003
46,croupier,http://www.dailyscript.com/scripts/croupier.txt,1998
47,dark star,http://www.dailyscript.com/scripts/dark+star.txt,1974
48,dark angel,http://www.hundland.org/scripts/darkangel.txt,1990
49,detroit rock city,http://www.dailyscript.com/scripts/detroit+rock+city.txt,1999
50,donnie darko,http://www.dailyscript.com/scripts/donnie+darko.txt,2001
51,drop dead gorgeous,http://www.dailyscript.com/scripts/drop+dead+gorgeous.txt,1999
52,duck soup,http://www.dailyscript.com/scripts/duck%20soup.txt,1933
53,the elephant man,"http://www.dailyscript.com/scripts/elephant+man,+the.txt",1980
54,erik the viking,http://www.dailyscript.com/scripts/erik+the+viking.txt,1989
55,eternal sunshine of the spotless mind,http://www.dailyscript.com/scripts/eternal+sunshine+of+the+spotless+mind.txt,2004
56,even cowgirls get the blues,http://www.dailyscript.com/scripts/even%20cowgirls%20get%20the%20blues.txt,1993
57,event horizon,http://www.dailyscript.com/scripts/event%20horizon.txt,1997
58,fantastic four,http://www.dailyscript.com/scripts/fantastic+four.txt,2005
59,fast times at ridgemont high,http://www.dailyscript.com/scripts/fast+times+at+ridgemont+high.txt,1982
60,fear and loathing in las vegas,http://www.dailyscript.com/scripts/fear+&+loathing+in+las+vegas.txt,1998
61,feast,http://www.dailyscript.com/scripts/feast%20-%20revised%20draft.txt,2005
62,frances,http://www.dailyscript.com/scripts/frances.txt,1982
63,frankenstein,http://www.dailyscript.com/scripts/frankenstein+(1994).txt,1931
64,friday the 13th,http://www.dailyscript.com/scripts/friday%20the%2013th.txt,2009
65,from dusk till dawn,http://www.dailyscript.com/scripts/from%20dusk%20till%20dawn.txt,1996
66,g.i. jane,http://www.angelfire.com/movies/ridleyscott/script/gijane.txt,1997
67,godzilla,http://www.scifiscripts.com/scripts/godzillafirst.txt,1998
68,galaxy quest,http://www.scifiscripts.com/scripts/galaxyquest.txt,1999
69,george washington,http://www.fortunecity.com/tattooine/clarke/38/scripts/georgewashington.txt,2000
70,get shorty,http://www.dailyscript.com/scripts/get+shorty.txt,1995
71,ghost ship,http://www.whiskeyloosetongue.com/scripts/ghostship.html,2002
72,ghost world,http://www.dailyscript.com/scripts/ghost%20world.txt,2001
73,the ghost and the darkness,"http://www.dailyscript.com/scripts/ghost%20and%20the%20darkness,%20the.txt",1996
74,ghostbusters ii,http://www.scifiscripts.com/scripts/ghostbusters-2.txt,1989
75,ghostbusters,http://www.scifiscripts.com/scripts/ghostbusters.txt,1986
76,gladiator,http://www.angelfire.com/movies/ridleyscott/script/gladiator_seconddraft.txt,2000
77,the graduate,"http://www.dailyscript.com/scripts/graduate,+the.txt",1967
78,grand hotel,http://www.dailyscript.com/scripts/grand%20hotel.txt,1932
79,the grifters,http://www.dailyscript.com/scripts/grifters_westlake.html,1990
80,halloween h20: 20 years later,http://www.horrorlair.com/scripts/h20.txt,1998
81,halloween: the curse of michael myers,http://www.dailyscript.com/scripts/halloween_6_the_curse_of_michael_myers.html,1995
